epoch,AUC_PR,accuracy,loss,val_AUC_PR,val_accuracy,val_loss
0,0.9310929775238037,0.8524377346038818,0.4690132439136505,0.9817054271697998,0.9270133972167969,0.21522030234336853
1,0.9652699828147888,0.9050830006599426,0.2991943359375,0.9657264947891235,0.9021252989768982,0.28682494163513184
2,0.9724719524383545,0.9232364892959595,0.24942146241664886,0.9885030388832092,0.9479866027832031,0.16100619733333588
3,0.978895902633667,0.9338693022727966,0.21651019155979156,0.9857890009880066,0.9510626196861267,0.1732313483953476
0,0.9311440587043762,0.8589860200881958,0.4685465097427368,0.981143057346344,0.9334452152252197,0.21928244829177856
1,0.966110110282898,0.9072873592376709,0.2964549958705902,0.982630729675293,0.9398769736289978,0.20250529050827026
2,0.974143922328949,0.9213563203811646,0.24787598848342896,0.9800552129745483,0.9340044856071472,0.2202443778514862
3,0.9781465530395508,0.9316000938415527,0.2225814312696457,0.9896089434623718,0.9577740430831909,0.14465591311454773
4,0.9814319610595703,0.9380186796188354,0.19968149065971375,0.987932562828064,0.951621949672699,0.15555939078330994
5,0.9819689989089966,0.9393153786659241,0.19781574606895447,0.989715576171875,0.9594519138336182,0.14576777815818787
6,0.9851176738739014,0.9448262453079224,0.17664624750614166,0.989002525806427,0.9600111842155457,0.1442418396472931
7,0.9843589067459106,0.9467712640762329,0.17428787052631378,0.9878613948822021,0.9541386961936951,0.16203618049621582
8,0.984540581703186,0.9487162828445435,0.16930995881557465,0.9877243041992188,0.9588926434516907,0.1493455171585083
9,0.9860348701477051,0.9513096213340759,0.163465678691864,0.9889755249023438,0.9600111842155457,0.14744359254837036
10,0.9876725673675537,0.9550051689147949,0.14750881493091583,0.9913681745529175,0.9689597487449646,0.12646235525608063
11,0.987919807434082,0.9561073780059814,0.1454857438802719,0.9863628149032593,0.9611297249794006,0.15697452425956726
12,0.987879753112793,0.9529953598976135,0.15041574835777283,0.9919120073318481,0.9611297249794006,0.12594960629940033
13,0.9884109497070312,0.9570798873901367,0.14592666923999786,0.9882209897041321,0.9608501195907593,0.1720844954252243
14,0.98793625831604,0.9558480381965637,0.14759160578250885,0.9854382276535034,0.9552572965621948,0.17915193736553192
15,0.9884335994720459,0.9584413766860962,0.13926692306995392,0.9877955913543701,0.9661633372306824,0.15354406833648682
