epoch,AUC_PR,accuracy,loss,val_AUC_PR,val_accuracy,val_loss
0,0.8220762014389038,0.7486454844474792,0.8216686844825745,0.9456818103790283,0.8566666841506958,0.4073109030723572
1,0.8951143026351929,0.8254643678665161,0.5811235904693604,0.9528061747550964,0.8741666674613953,0.3656419813632965
2,0.9041755795478821,0.8310758471488953,0.5530716180801392,0.9727203845977783,0.9108333587646484,0.2911113500595093
3,0.9165038466453552,0.8463622331619263,0.5031059384346008,0.9586383700370789,0.9083333611488342,0.34858426451683044
4,0.9225054979324341,0.8539086580276489,0.48526301980018616,0.9693174362182617,0.9100000262260437,0.27656689286231995
5,0.9267144799232483,0.8593266010284424,0.46675172448158264,0.9739938974380493,0.9166666865348816,0.26398372650146484
6,0.9275968670845032,0.8630030751228333,0.46102282404899597,0.9464671611785889,0.8966666460037231,0.3533112406730652
7,0.9356492757797241,0.8728715181350708,0.4292203485965729,0.9666803479194641,0.92166668176651,0.2650740146636963
8,0.9334693551063538,0.8659055829048157,0.4406050443649292,0.9739800095558167,0.9449999928474426,0.24526920914649963
9,0.9354936480522156,0.8695820569992065,0.4293583631515503,0.9687497615814209,0.9416666626930237,0.2764844596385956
10,0.939197301864624,0.8767414689064026,0.4178282618522644,0.9676754474639893,0.92166668176651,0.254202663898468
