epoch,AUC_PR,accuracy,loss,val_AUC_PR,val_accuracy,val_loss
0,0.7820992469787598,0.7142857313156128,0.9700497388839722,0.9292330145835876,0.859375,0.464158296585083
0,0.7785706520080566,0.7174744606018066,0.9792149066925049,0.9146909713745117,0.8611111044883728,0.525485098361969
1,0.8676461577415466,0.7983418107032776,0.6983731985092163,0.9207514524459839,0.8634259104728699,0.5134961009025574
2,0.8887278437614441,0.8238520622253418,0.6191368103027344,0.9268043041229248,0.8790509104728699,0.48814621567726135
3,0.8922680616378784,0.8261479735374451,0.6071913242340088,0.940838098526001,0.8946759104728699,0.3954751491546631
4,0.9054918885231018,0.8392857313156128,0.5598049163818359,0.9604781270027161,0.9097222089767456,0.31270286440849304
5,0.905521810054779,0.8411989808082581,0.5628297328948975,0.9251068830490112,0.8865740895271301,0.46112290024757385
6,0.9205475449562073,0.8568877577781677,0.5085267424583435,0.9335228800773621,0.8894675970077515,0.4355478286743164
7,0.922858476638794,0.8576530814170837,0.4939362406730652,0.9368360042572021,0.8952546119689941,0.4138337969779968
8,0.9214028716087341,0.858418345451355,0.5012903213500977,0.9397822022438049,0.8940972089767456,0.4215053915977478
9,0.9255228042602539,0.8653061389923096,0.4820724129676819,0.9504336714744568,0.9021990895271301,0.37725427746772766
