epoch,AUC_PR,accuracy,loss,val_AUC_PR,val_accuracy,val_loss
0,0.8805738687515259,0.8046550750732422,0.6826958656311035,0.9519830942153931,0.9007270932197571,0.39912113547325134
1,0.9397629499435425,0.8771395087242126,0.43171197175979614,0.8825191259384155,0.8028523325920105,0.712138831615448
2,0.9535905122756958,0.8982754349708557,0.36239489912986755,0.4285672605037689,0.5553691387176514,4.140362739562988
3,0.9691725969314575,0.9211618304252625,0.27456939220428467,0.9326028823852539,0.8797538876533508,0.44523876905441284
4,0.9594459533691406,0.9057961702346802,0.33437883853912354,0.48667579889297485,0.5836129784584045,3.541560173034668
5,0.9671887159347534,0.9184387922286987,0.2941686511039734,0.9868879318237305,0.9510626196861267,0.1709594577550888
6,0.9748454093933105,0.9328967928886414,0.2380729615688324,0.4584927260875702,0.4451901614665985,3.173379421234131
7,0.9722634553909302,0.9275155663490295,0.25162747502326965,0.9893904328346252,0.9577740430831909,0.14690034091472626
8,0.9729691743850708,0.9299144148826599,0.2474490851163864,0.9714058637619019,0.9253355860710144,0.2739722430706024
9,0.9761731624603271,0.9349714517593384,0.2286953628063202,0.9720228314399719,0.9253355860710144,0.2679242193698883
10,0.9772877097129822,0.9359439611434937,0.23031291365623474,0.9756455421447754,0.9217002391815186,0.24862556159496307
11,0.9769235849380493,0.9352956414222717,0.22382184863090515,0.9836848378181458,0.9502236843109131,0.17465071380138397
12,0.9774513244628906,0.933804452419281,0.22344756126403809,0.9366263151168823,0.8733221292495728,0.4435669779777527
13,0.9811009168624878,0.9437240958213806,0.20246991515159607,0.9869205951690674,0.9600111842155457,0.1552351713180542
14,0.9815903902053833,0.9457987546920776,0.1988639384508133,0.9727120995521545,0.9191834330558777,0.2716153860092163
15,0.9811872243881226,0.9421680569648743,0.19892990589141846,0.9834527969360352,0.9560961723327637,0.18618656694889069
16,0.980617105960846,0.9419087171554565,0.2040635049343109,0.9354636073112488,0.8887024521827698,0.43011409044265747
17,0.9830923676490784,0.9500129818916321,0.18642985820770264,0.9796160459518433,0.9393176436424255,0.22364823520183563
18,0.9800174236297607,0.9413251876831055,0.2074112594127655,0.9841499924659729,0.9558165669441223,0.18027521669864655
19,0.9845773577690125,0.9501426219940186,0.18051646649837494,0.9845184087753296,0.9449105262756348,0.17939962446689606
0,0.8935960531234741,0.8140560388565063,0.6338805556297302,0.9554063081741333,0.8878635168075562,0.3744649291038513
1,0.9408581256866455,0.8770098686218262,0.4321277141571045,0.9553709626197815,0.8777964115142822,0.3529289960861206
2,0.9599906206130981,0.9061851501464844,0.3316347599029541,0.965191662311554,0.8970917463302612,0.3092391788959503
3,0.9598257541656494,0.9069631695747375,0.3278467655181885,0.9752006530761719,0.9236577153205872,0.25348833203315735
4,0.970841646194458,0.928034245967865,0.26809170842170715,0.9838685989379883,0.9295302033424377,0.19814182817935944
5,0.9754252433776855,0.9277100563049316,0.24380949139595032,0.9469580054283142,0.880033552646637,0.41171765327453613
6,0.9666966795921326,0.9205135107040405,0.30292704701423645,0.9642093777656555,0.9091163277626038,0.28463321924209595
7,0.975977897644043,0.9303033947944641,0.2348039448261261,0.9639492034912109,0.9138702750205994,0.32072165608406067
8,0.9725529551506042,0.9309517741203308,0.25388509035110474,0.9747418761253357,0.906879186630249,0.25420916080474854
9,0.9749302268028259,0.9347769618034363,0.2385583519935608,0.9551370739936829,0.8906599283218384,0.3504592478275299
10,0.9828124642372131,0.9445669054985046,0.19046621024608612,0.9809085130691528,0.9443512558937073,0.2088593691587448
11,0.9799349904060364,0.942427396774292,0.21968293190002441,0.9541927576065063,0.9172259569168091,0.3927949368953705
12,0.9762634038925171,0.9335451126098633,0.23304374516010284,0.9827371835708618,0.9468680024147034,0.21289581060409546
