epoch,accuracy,loss,val_accuracy,val_loss
0,0.7542264461517334,0.14227156341075897,0.910287082195282,0.054044634103775024
1,0.8666751980781555,0.06970202177762985,0.9318181872367859,0.035969432443380356
2,0.8639856576919556,0.06342273950576782,0.9031100273132324,0.043271254748106
3,0.9159836173057556,0.040749695152044296,0.9096890091896057,0.034405097365379333
4,0.9100922346115112,0.03789478912949562,0.9066985845565796,0.03698352351784706
5,0.9022797346115112,0.0424603633582592,0.9443780183792114,0.021632488816976547
6,0.9189292788505554,0.03445418179035187,0.9599282145500183,0.016035661101341248
7,0.9184170365333557,0.033075809478759766,0.9527512192726135,0.022322462871670723
8,0.9112448692321777,0.04049592465162277,0.9252392053604126,0.02664943039417267
9,0.9222592115402222,0.03251270204782486,0.97547847032547,0.011275084689259529
10,0.9261014461517334,0.029850639402866364,0.8899521827697754,0.04047214612364769
11,0.9176485538482666,0.034622110426425934,0.9366028904914856,0.021576959639787674
12,0.9340420365333557,0.026060648262500763,0.9545454382896423,0.015671098604798317
13,0.9263575673103333,0.027665600180625916,0.9503588676452637,0.021541034802794456
14,0.923539936542511,0.03523726016283035,0.9132775068283081,0.0358455665409565
15,0.9346823692321777,0.027280692011117935,0.9742823243141174,0.012944750487804413
16,0.9082992076873779,0.04180274158716202,0.9037081599235535,0.037351541221141815
17,0.9182889461517334,0.03884154185652733,0.9007176756858826,0.04216407984495163
18,0.9211065769195557,0.03433369845151901,0.9569377899169922,0.017057590186595917
19,0.9029200673103333,0.046075548976659775,0.7924641370773315,0.13463948667049408
