epoch,AUC_PR,accuracy,loss,val_AUC_PR,val_accuracy,val_loss
0,0.8966436386108398,0.8214197754859924,0.6092165112495422,0.9484694004058838,0.8887711763381958,0.408074289560318
1,0.948418378829956,0.889523446559906,0.3964819610118866,0.9355920553207397,0.8506355881690979,0.43646013736724854
2,0.9526490569114685,0.8967698216438293,0.3639834225177765,0.8872178792953491,0.8000529408454895,0.7308419942855835
3,0.9647660851478577,0.9153156280517578,0.30609220266342163,0.9475094676017761,0.8866525292396545,0.4049188196659088
4,0.975620448589325,0.9330631494522095,0.24344024062156677,0.9518921375274658,0.8787076473236084,0.3848186731338501
5,0.9653396010398865,0.920474112033844,0.28747522830963135,0.9720602631568909,0.9226694703102112,0.26411253213882446
6,0.9721825122833252,0.9298698306083679,0.25614121556282043,0.9881263971328735,0.9592161178588867,0.15702058374881744
7,0.9746955633163452,0.9344141483306885,0.2386588454246521,0.9808228015899658,0.9279661178588867,0.21510200202465057
8,0.9774823784828186,0.9363792538642883,0.22662688791751862,0.9764620065689087,0.929290235042572,0.2591245770454407
9,0.9762013554573059,0.9365634918212891,0.2210751175880432,0.9735567569732666,0.9329978823661804,0.2403663992881775
10,0.9731180667877197,0.933001697063446,0.24887247383594513,0.9659064412117004,0.9255826473236084,0.29905593395233154
11,0.9785219430923462,0.9406165480613708,0.2159738391637802,0.9772189259529114,0.9417372941970825,0.2398558408021927
12,0.9816360473632812,0.9447924494743347,0.194111630320549,0.9728884696960449,0.9314088821411133,0.24129720032215118
13,0.9780477285385132,0.9415376782417297,0.21441036462783813,0.7800988554954529,0.7354342937469482,1.2903594970703125
14,0.9828199148178101,0.9468189477920532,0.1883796751499176,0.9774912595748901,0.9438559412956238,0.2425169050693512
15,0.9817076921463013,0.9439327120780945,0.19612854719161987,0.9804913401603699,0.944650411605835,0.23463571071624756
16,0.9796081781387329,0.9476786851882935,0.20033839344978333,0.9773896932601929,0.9494173526763916,0.2125396430492401
