epoch,AUC_PR,accuracy,loss,val_AUC_PR,val_accuracy,val_loss
0,0.8181236982345581,0.7409365773200989,0.8327019214630127,0.9270159006118774,0.8352272510528564,0.484150767326355
1,0.8795930743217468,0.8049471378326416,0.640654981136322,0.954869270324707,0.8961039185523987,0.36607110500335693
2,0.895901083946228,0.8247734308242798,0.580881655216217,0.966379702091217,0.9066558480262756,0.331402063369751
3,0.9088859558105469,0.837990939617157,0.5368546843528748,0.9584313631057739,0.8944805264472961,0.3268905282020569
4,0.9213050007820129,0.8491314053535461,0.4943693280220032,0.9710164666175842,0.9196428656578064,0.26375874876976013
5,0.9179396033287048,0.8457326292991638,0.5027416944503784,0.9672456979751587,0.926948070526123,0.28012579679489136
6,0.9287081956863403,0.8595166206359863,0.46169209480285645,0.9572871923446655,0.913149356842041,0.330961674451828
7,0.9254664182662964,0.8564954400062561,0.4696308672428131,0.9742885231971741,0.9310064911842346,0.26228246092796326
8,0.9282001256942749,0.8651812672615051,0.4546598792076111,0.9734195470809937,0.9310064911842346,0.2557321786880493
9,0.9273724555969238,0.8623489141464233,0.4650619328022003,0.9634990692138672,0.9163960814476013,0.27911826968193054
10,0.9369058609008789,0.8710347414016724,0.4265952706336975,0.9689009189605713,0.9342532753944397,0.2615894675254822
11,0.9363083243370056,0.8668806552886963,0.4340694844722748,0.9789863228797913,0.9464285969734192,0.2653941810131073
12,0.9417761564254761,0.8810423016548157,0.4043022692203522,0.9635000824928284,0.9310064911842346,0.2774893641471863
13,0.9444042444229126,0.8804758191108704,0.3959251046180725,0.9728586077690125,0.9537337422370911,0.23278991878032684
14,0.9389523863792419,0.8710347414016724,0.42331361770629883,0.9664522409439087,0.9188311696052551,0.27325496077537537
15,0.9409807920455933,0.8766993880271912,0.4108854830265045,0.9646079540252686,0.9172077775001526,0.2910977900028229
16,0.9434506297111511,0.884441077709198,0.4008084237575531,0.9789313077926636,0.9407467246055603,0.22437350451946259
