epoch,AUC_PR,accuracy,loss,val_AUC_PR,val_accuracy,val_loss
0,0.8082062005996704,0.7410211563110352,0.8427376747131348,0.9118486642837524,0.8141025900840759,0.5421422719955444
1,0.8872199058532715,0.813732385635376,0.6087984442710876,0.9374348521232605,0.8822115659713745,0.4034593105316162
2,0.9147314429283142,0.845950722694397,0.517259955406189,0.9240370392799377,0.8661859035491943,0.4536759853363037
3,0.9131771922111511,0.8505281805992126,0.5116497874259949,0.9459089040756226,0.901442289352417,0.35756000876426697
4,0.9153916239738464,0.8529929518699646,0.5024214386940002,0.9225324392318726,0.8790063858032227,0.46613404154777527
5,0.9166592955589294,0.8484154939651489,0.497661828994751,0.9527458548545837,0.9150640964508057,0.33093833923339844
6,0.9262782335281372,0.8661971688270569,0.4634401500225067,0.9505622982978821,0.8974359035491943,0.3441883325576782
7,0.9307974576950073,0.873767614364624,0.4389423131942749,0.9434278011322021,0.8998397588729858,0.37511637806892395
8,0.9340883493423462,0.8776408433914185,0.4296684265136719,0.9589917063713074,0.9142628312110901,0.3001975119113922
9,0.9350250959396362,0.8730633854866028,0.42710164189338684,0.9367696046829224,0.901442289352417,0.40766313672065735
10,0.93499755859375,0.8744718432426453,0.42991194128990173,0.9608290195465088,0.9054487347602844,0.30756181478500366
