epoch,AUC_PR,accuracy,loss,val_AUC_PR,val_accuracy,val_loss
0,0.8197048902511597,0.7459183931350708,0.8606247901916504,0.9359712600708008,0.8686342835426331,0.442862331867218
1,0.9060757756233215,0.8410714268684387,0.5517327785491943,0.9294307827949524,0.8483796119689941,0.45372694730758667
2,0.9200735688209534,0.8551020622253418,0.5042551755905151,0.9530222415924072,0.8802083134651184,0.38028690218925476
3,0.9325024485588074,0.8677296042442322,0.4490814507007599,0.9386706352233887,0.8819444179534912,0.3969452381134033
4,0.9351094365119934,0.8710459470748901,0.44130510091781616,0.9508930444717407,0.8929398059844971,0.36261188983917236
5,0.9389662146568298,0.8788265585899353,0.42207443714141846,0.9565509557723999,0.8969907164573669,0.3305486738681793
6,0.9471598863601685,0.8859694004058838,0.3857622444629669,0.9384894967079163,0.8819444179534912,0.43073388934135437
7,0.9495571255683899,0.8891581892967224,0.3765231966972351,0.943387508392334,0.9079861044883728,0.3738687038421631
8,0.9504556655883789,0.8952805995941162,0.36632800102233887,0.9427513480186462,0.9114583134651184,0.36826959252357483
9,0.9540332555770874,0.8977040648460388,0.35324469208717346,0.9473628997802734,0.8969907164573669,0.3758407235145569
10,0.9547217488288879,0.9003826379776001,0.34983980655670166,0.9529162645339966,0.9137731194496155,0.36200758814811707
11,0.9521065950393677,0.8982142806053162,0.3596418797969818,0.9460411071777344,0.9207175970077515,0.3530498743057251
12,0.9579201936721802,0.9047194123268127,0.33403411507606506,0.9323403239250183,0.8998842835426331,0.44591835141181946
13,0.9593502283096313,0.9090561270713806,0.3254423439502716,0.9332394599914551,0.9016203880310059,0.44726863503456116
14,0.9601762294769287,0.9098214507102966,0.3229270875453949,0.9633041024208069,0.9103009104728699,0.3055598735809326
15,0.9573944211006165,0.9024234414100647,0.3357674181461334,0.9265139698982239,0.8958333134651184,0.4857140779495239
16,0.9604484438896179,0.9113520383834839,0.3178673982620239,0.941321074962616,0.9184027910232544,0.4181061089038849
