epoch,AUC_PR,accuracy,loss,val_AUC_PR,val_accuracy,val_loss
0,0.8076887130737305,0.7313461303710938,0.8692478537559509,0.9351992607116699,0.8483333587646484,0.47020161151885986
1,0.8724014759063721,0.7940384745597839,0.657986044883728,0.9435339570045471,0.8658333420753479,0.39720556139945984
2,0.9020929336547852,0.8273077011108398,0.5706624388694763,0.9430766105651855,0.8858333230018616,0.4061662554740906
3,0.9106397032737732,0.8396154046058655,0.5325543880462646,0.9624971151351929,0.9233333468437195,0.2993328273296356
4,0.9168718457221985,0.8432692289352417,0.5057097673416138,0.9604421854019165,0.8999999761581421,0.3200087547302246
5,0.9264258146286011,0.8553845882415771,0.47277456521987915,0.9470266103744507,0.8824999928474426,0.36680588126182556
6,0.928620457649231,0.8540384769439697,0.4626277983188629,0.9717440605163574,0.925000011920929,0.2679324150085449
7,0.9299197196960449,0.8638461828231812,0.456583708524704,0.9650194644927979,0.925000011920929,0.2696239650249481
8,0.9365216493606567,0.8682692050933838,0.4315418303012848,0.9633409380912781,0.8899999856948853,0.29899606108665466
9,0.9356591701507568,0.8675000071525574,0.4314180910587311,0.9668694138526917,0.92166668176651,0.262945294380188
10,0.928918182849884,0.8669230937957764,0.4545578360557556,0.9637086391448975,0.9133333563804626,0.29217100143432617
11,0.937358021736145,0.8734615445137024,0.422853946685791,0.9616811275482178,0.9241666793823242,0.2906017601490021
