epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.9683290123939514,0.13200350105762482,0.9735761880874634,0.08476801961660385
1,0.9677670001983643,0.08754362165927887,0.9681025147438049,0.07737549394369125
2,0.9680112600326538,0.07983395457267761,0.9677495956420898,0.0740106999874115
3,0.9677115082740784,0.075486920773983,0.9669256806373596,0.07178698480129242
4,0.9680671691894531,0.07247362285852432,0.9658662676811218,0.0702349841594696
5,0.9687594771385193,0.07040149718523026,0.9649245738983154,0.0695112943649292
6,0.9685723781585693,0.06860915571451187,0.9645124673843384,0.06910979002714157
7,0.9692468643188477,0.06682640314102173,0.9615699052810669,0.07077257335186005
8,0.9687973260879517,0.06630999594926834,0.9631001353263855,0.07173231989145279
9,0.969864010810852,0.06373711675405502,0.9636300206184387,0.06975260376930237
10,0.9693398475646973,0.062484823167324066,0.9613932371139526,0.07334190607070923
11,0.9683665037155151,0.06259354203939438,0.9642770886421204,0.07002817839384079
12,0.9688530564308167,0.06098242476582527,0.9656895399093628,0.0692548081278801
13,0.9698640704154968,0.05992496758699417,0.9646302461624146,0.06920851022005081
14,0.9690777063369751,0.05845921114087105,0.9657483696937561,0.07244794070720673
15,0.9696393013000488,0.05752469226717949,0.9595101475715637,0.07584645599126816
16,0.9698082208633423,0.057850003242492676,0.9643949270248413,0.07289831340312958
0,0.9550861120223999,0.17818787693977356,0.9593656659126282,0.12240402400493622
1,0.9601675868034363,0.11732588708400726,0.9624624252319336,0.10379782319068909
2,0.9625110030174255,0.1072382852435112,0.9615238308906555,0.09846077114343643
3,0.9640071988105774,0.10057193040847778,0.9634007811546326,0.09440366178750992
4,0.9655038118362427,0.09480279684066772,0.9664038419723511,0.09095491468906403
5,0.9657293558120728,0.0916367918252945,0.9666852951049805,0.09025627374649048
6,0.9658421277999878,0.09026254713535309,0.9649960398674011,0.09072179347276688
7,0.9658989310264587,0.08847630023956299,0.9621809124946594,0.09348834306001663
8,0.9670847058296204,0.08515312522649765,0.9617117047309875,0.09388308972120285
9,0.9681857228279114,0.08321893960237503,0.9641517400741577,0.0932091698050499
10,0.9673107266426086,0.0825933888554573,0.9606794118881226,0.09891843050718307
11,0.9677056074142456,0.08043353259563446,0.9641517400741577,0.09370454400777817
12,0.967705488204956,0.07922074943780899,0.9634946584701538,0.09658896178007126
13,0.9683273434638977,0.07799695432186127,0.9623684287071228,0.09532480686903
14,0.9681289792060852,0.076844222843647,0.9621807932853699,0.09816796332597733
15,0.9689760804176331,0.07614337652921677,0.9647145867347717,0.09684372693300247
0,0.9472381472587585,0.16894471645355225,0.9565500617027283,0.11927836388349533
1,0.961974561214447,0.11571752279996872,0.961430013179779,0.1047918051481247
2,0.9645716547966003,0.1048656702041626,0.9635884165763855,0.09790647774934769
3,0.9669434428215027,0.09987383335828781,0.9636824131011963,0.09341306984424591
4,0.9676491618156433,0.09526103734970093,0.9655592441558838,0.09155116975307465
5,0.968806803226471,0.09142661839723587,0.965559184551239,0.08981726318597794
6,0.9702745676040649,0.0892004519701004,0.9629316329956055,0.09309475868940353
7,0.9695687294006348,0.08858416229486465,0.9656533002853394,0.09049292653799057
8,0.9708959460258484,0.08583666384220123,0.963119387626648,0.09616692364215851
9,0.9707265496253967,0.08380726724863052,0.9635885953903198,0.09370222687721252
10,0.9713191986083984,0.08324747532606125,0.9665917158126831,0.09331119060516357
11,0.9716298580169678,0.08136440068483353,0.9650900363922119,0.09394805133342743
12,0.9722795486450195,0.07881394028663635,0.9654654264450073,0.09499861299991608
13,0.9726462364196777,0.07824400067329407,0.9647144675254822,0.09585505723953247
14,0.9731828570365906,0.07695329934358597,0.9640580415725708,0.10199344158172607
15,0.9733237624168396,0.07600294053554535,0.9638701677322388,0.10383103042840958
0,0.9476901292800903,0.16520893573760986,0.9566439986228943,0.11858179420232773
1,0.9610708951950073,0.11656643450260162,0.9606792330741882,0.10544850677251816
2,0.9645995497703552,0.10640563815832138,0.9618052840232849,0.09865036606788635
3,0.9664065837860107,0.10028353333473206,0.9642451405525208,0.09272534400224686
4,0.9679598212242126,0.09524493664503098,0.9640577435493469,0.09274279326200485
5,0.968383252620697,0.0921311005949974,0.9658409357070923,0.0901508629322052
6,0.9688066840171814,0.09059274941682816,0.9649022817611694,0.09109921753406525
7,0.9696813821792603,0.0882178470492363,0.9648087024688721,0.0911441221833229
8,0.9706133604049683,0.08625341951847076,0.9632132053375244,0.09202107042074203
9,0.9710936546325684,0.08367285877466202,0.9628380537033081,0.09479241073131561
10,0.9710656404495239,0.0824074000120163,0.9623686075210571,0.09661372005939484
11,0.9711779952049255,0.08167751133441925,0.9650901556015015,0.0927417129278183
12,0.9721099138259888,0.07934749126434326,0.9639639854431152,0.09501351416110992
13,0.9724771976470947,0.07890935242176056,0.9613361954689026,0.10052881389856339
14,0.973436176776886,0.07645037770271301,0.963119387626648,0.09804783761501312
15,0.9729282855987549,0.0761614739894867,0.9624624252319336,0.10111534595489502
0,0.369035005569458,0.010219063609838486,0.07743510603904724,0.21507970988750458,0.012439223937690258,0.14094029366970062
1,0.21069742739200592,0.031180892139673233,0.2215312421321869,0.19381484389305115,0.02793150022625923,0.23620305955410004
2,0.19507183134555817,0.04396101087331772,0.28901898860931396,0.17742373049259186,0.041816823184490204,0.32061633467674255
3,0.18304941058158875,0.05513232946395874,0.3561629354953766,0.18078121542930603,0.0491265170276165,0.33821433782577515
4,0.17297692596912384,0.06173389405012131,0.3827000558376312,0.163588285446167,0.0604562871158123,0.4250447154045105
5,0.17019017040729523,0.06867796927690506,0.42119845747947693,0.16616234183311462,0.05228263512253761,0.3686000108718872
6,0.16300512850284576,0.07108098268508911,0.43812865018844604,0.1682044118642807,0.05697900056838989,0.38902589678764343
7,0.16245998442173004,0.07768194377422333,0.466573029756546,0.16359993815422058,0.057652298361063004,0.4196038246154785
8,0.1576671302318573,0.08465175330638885,0.49382200837135315,0.17134928703308105,0.0563313327729702,0.37611064314842224
9,0.1535770297050476,0.08303530514240265,0.4879855215549469,0.16861014068126678,0.05733828246593475,0.3984523117542267
10,0.15214382112026215,0.0867825448513031,0.5153356194496155,0.17133621871471405,0.06124338507652283,0.40854939818382263
11,0.14759373664855957,0.08778294920921326,0.5186018943786621,0.17517313361167908,0.05589577183127403,0.37782639265060425
12,0.14509102702140808,0.09071040153503418,0.5269724130630493,0.18472599983215332,0.06342592090368271,0.42580339312553406
13,0.1446533054113388,0.0900869145989418,0.5305681228637695,0.17807988822460175,0.05427570641040802,0.42121580243110657
14,0.1411280483007431,0.09468421339988708,0.5412747263908386,0.17242799699306488,0.06149185076355934,0.4657752513885498
15,0.14046244323253632,0.09605246037244797,0.5472436547279358,0.17925597727298737,0.0685935840010643,0.45536184310913086
16,0.1421111524105072,0.09479963034391403,0.5464006662368774,0.18469594419002533,0.06629128754138947,0.44535672664642334
17,0.14111138880252838,0.09545768052339554,0.5513195991516113,0.18069224059581757,0.06783532351255417,0.47129470109939575
18,0.1349238008260727,0.10177057981491089,0.5754172801971436,0.18482407927513123,0.0619339756667614,0.4412255585193634
19,0.13425715267658234,0.10441473871469498,0.5992628335952759,0.19254915416240692,0.06841961294412613,0.47246530652046204
20,0.1361682265996933,0.09863892942667007,0.5638778209686279,0.19193603098392487,0.06298463046550751,0.4750961661338806
21,0.1378215104341507,0.10057930648326874,0.5708536505699158,0.1955033540725708,0.06973180919885635,0.4938887655735016
22,0.14055246114730835,0.09925701469182968,0.5713703632354736,0.19895797967910767,0.056948840618133545,0.43237045407295227
23,0.13657906651496887,0.10509834438562393,0.5861837267875671,0.20482121407985687,0.07155658304691315,0.49461689591407776
24,0.13886450231075287,0.10289798676967621,0.5861837267875671,0.2030409574508667,0.06579793244600296,0.4709106683731079
25,0.14878733456134796,0.0973784402012825,0.560769259929657,0.2293824851512909,0.06090616062283516,0.42085063457489014
26,0.13794907927513123,0.09913887828588486,0.5680873394012451,0.17690052092075348,0.06510939449071884,0.46566417813301086
27,0.1402350813150406,0.09984631091356277,0.566902756690979,0.18727634847164154,0.05867675691843033,0.4337060749530792
28,0.1504269540309906,0.09300405532121658,0.5362150073051453,0.201976016163826,0.0551229864358902,0.37084561586380005
29,0.15264931321144104,0.09247010946273804,0.5350606441497803,0.20315207540988922,0.0640140175819397,0.3948052227497101
30,0.15444673597812653,0.0894022285938263,0.5192612409591675,0.19791050255298615,0.05484591796994209,0.4265535771846771
31,0.15026015043258667,0.09311984479427338,0.5325897336006165,0.2105473130941391,0.054316822439432144,0.34874409437179565
32,0.1536320596933365,0.08913040161132812,0.5161824226379395,0.21023888885974884,0.05306438356637955,0.39680448174476624
33,0.164008229970932,0.08497494459152222,0.49832552671432495,0.1912834793329239,0.05497186258435249,0.43275684118270874
0,0.4755498170852661,0.08392243832349777,0.32806268334388733,0.2424066960811615,0.09841553121805191,0.5280441045761108
1,0.2641667425632477,0.12157447636127472,0.4701613485813141,0.22192791104316711,0.12864339351654053,0.57902991771698
2,0.2394227236509323,0.14665576815605164,0.5227408409118652,0.2051643282175064,0.1421889066696167,0.6202329993247986
3,0.22345277667045593,0.1658380925655365,0.5650461912155151,0.1980418860912323,0.1470283567905426,0.6080637574195862
4,0.21139267086982727,0.17826397716999054,0.5855862498283386,0.18521955609321594,0.15297181904315948,0.643826961517334
5,0.20314471423625946,0.18376867473125458,0.5999084115028381,0.1817747801542282,0.15702253580093384,0.6616605520248413
6,0.19824263453483582,0.19048896431922913,0.6142042875289917,0.17911584675312042,0.15680672228336334,0.6511525511741638
7,0.1914207637310028,0.19764959812164307,0.6264344453811646,0.1724967509508133,0.15607823431491852,0.683428168296814
8,0.18822073936462402,0.198399618268013,0.6224388480186462,0.1776273399591446,0.16262014210224152,0.656522810459137
9,0.1820116490125656,0.20921972393989563,0.6443395614624023,0.17333059012889862,0.158369243144989,0.6715664863586426
