epoch,AUC_PR,accuracy,loss,val_AUC_PR,val_accuracy,val_loss
0,0.6371928453445435,0.5544625520706177,1.342129111289978,0.8947956562042236,0.8011853694915771,0.5973378419876099
1,0.7254822254180908,0.6271592974662781,1.1136058568954468,0.9063589572906494,0.8313577771186829,0.5582420229911804
2,0.7351915836334229,0.636156439781189,1.0858345031738281,0.9096561074256897,0.8378232717514038,0.5654275417327881
3,0.747512698173523,0.6433541178703308,1.0510591268539429,0.918290376663208,0.8394396305084229,0.5257219672203064
4,0.765152096748352,0.6631478071212769,1.0061349868774414,0.9352440237998962,0.8556034564971924,0.45513221621513367
5,0.7650103569030762,0.6668666005134583,1.0070348978042603,0.9214497208595276,0.8556034564971924,0.519504964351654
6,0.7775028944015503,0.6717850565910339,0.9699283242225647,0.9158011078834534,0.84375,0.5257136821746826
7,0.7727627754211426,0.6680662035942078,0.9825530052185059,0.9198071360588074,0.8582974076271057,0.5227878093719482
8,0.7798879146575928,0.6738243699073792,0.9622464179992676,0.9193530082702637,0.8356680870056152,0.5347092151641846
9,0.787390410900116,0.6860604882240295,0.9455265402793884,0.9306209087371826,0.8459051847457886,0.47052744030952454
